Start processing data...
Data read
here
and here
auburn : 10
auction : 20
audience : 34
augmented : 8
august : 1
aunt : 78
aurane : 107
aurane's : 16
aurochs : 1
author : 25
authority : 21
authors : 70
autonomy : 9
autopsy : 16
autumn : 19
avail : 20
available : 127
avarice : 8
avenge : 99
avenging : 30
average : 29
aversion : 8
averted : 8
avoid : 40
avoided : 14
avoiding : 2
await : 39
awaited : 8
awaits : 1
awakens : 2
awakes : 8
award : 5
awarded : 28
aware : 63
away : 546
awkward : 1
awoke : 20
awoken : 2
axe : 79
axell : 243
axell's : 24
axeman : 4
axes : 16
aye : 16
ayrmidon : 8
azor : 138
azure : 1
azzak : 32
b : 4
babble : 8
babe : 107
babes : 22
baby : 23
back : 1059
backfired : 8
background : 1
backing : 1
backs : 1
bacon : 1
bad : 1
badge : 1
badly : 80
bael : 104
bael's : 34
baela : 644
baela's : 76
baelish : 135
baelon : 194
baelon's : 42
baelor : 1408
baelor's : 189
bag : 16
baggage : 16
baggy : 8
bags : 5
bailey : 2
baker : 16
bakkalon : 1
balan : 8
balance : 64
balancing : 8
balaq : 24
balaq's : 4
balconies : 9
bald : 67
balding : 1
baldness : 8
balerion : 259
balin : 8
balked : 10
ball : 90
ball's : 8
ballabar : 80
ballad : 2
ballads : 8
balls : 50
balman : 47
balman's : 33
balon : 1004
balon's : 287
balticon : 1
ban : 8
band : 155
bandit : 22
bandits : 13
bands : 4
bandy : 35
bane : 8
bank : 375
bank's : 18
bankruptcy : 20
banks : 18
bannen : 48
bannen's : 8
banner : 97
bannerman : 16
bannermen : 26
banners : 192
banquet : 21
bantam : 2
baratheon : 1779
baratheon's : 174
baratheons : 29
barba : 298
barba's : 84
barbara : 8
barbaric : 14
barbey : 8
barbrey : 200
barbrey's : 8
bard : 46
barded : 16
bards : 19
bare : 55
barefoot : 18
barely : 81
bargain : 8
barge : 54
bargeman : 18
baristan : 8
barra : 72
barra's : 8
barracks : 24
barre : 24
barred : 18
barren : 64
barristan : 1220
barristan's : 104
barron : 1
barron's : 1
barrow : 17
barrowlands : 8
